UF,Nome Parlamentar,Posição,Partido,Email,Telefone,Evidência
AC,Leo de Brito,A favor do impeachment,PT,dep.leodebrito@camara.leg.br,3215-5572,https://twitter.com/leodebritoac/status/1348092750206545921
AC,Perpétua Almeida,A favor do impeachment,PCdoB,dep.perpetuaalmeida@camara.leg.br,3215-5310,https://twitter.com/perpetua_acre/status/1326120907534954496
AC,Alan Rick,Não se pronunciou,DEM,dep.alanrick@camara.leg.br,3215-5650,null
AC,Dra. Vanda Milani,Não se pronunciou,SOLIDARIEDADE,dep.dra.vandamilani@camara.leg.br,3215-5516,null
AC,Flaviano Melo,Não se pronunciou,MDB,dep.flavianomelo@camara.leg.br,3215-5224,null
AC,Jéssica Sales,Não se pronunciou,MDB,dep.jessicasales@camara.leg.br,3215-5952,null
AC,Jesus Sérgio,Não se pronunciou,PDT,dep.jesussergio@camara.leg.br,3215-5941,null
AC,Mara Rocha,Não se pronunciou,PSDB,dep.mararocha@camara.leg.br,3215-5607,null
AL,Paulão,A favor do impeachment,PT,dep.paulao@camara.leg.br,3215-5366,https://twitter.com/paulaodopt/status/1338119962611822592
AL,Arthur Lira,Contra o impeachment,PP,dep.arthurlira@camara.leg.br,3215-5942,https://twitter.com/ArthurLira_/status/1348274636849610753
AL,Pedro Vilela,Contra o impeachment,PSDB,dep.pedrovilela@camara.leg.br,3215-5271,https://pbs.twimg.com/media/EsQt0m5XIAI2Yl8?format=jpg&name=large
AL,Isnaldo Bulhões Jr.,Não se pronunciou,MDB,dep.isnaldobulhoesjr@camara.leg.br,3215-5460,null
AL,Marx Beltrão,Não se pronunciou,PSD,dep.marxbeltrao@camara.leg.br,3215-5722,null
AL,Nivaldo Albuquerque,Não se pronunciou,PTB,dep.nivaldoalbuquerque@camara.leg.br,3215-5425,null
AL,Sergio Toledo,Não se pronunciou,PL,dep.sergiotoledo@camara.leg.br,3215-5539,null
AL,Severino Pessoa,Não se pronunciou,REPUBLICANOS,dep.severinopessoa@camara.leg.br,3215-5467,null
